wdid,str_name,div,utm_x,utm_y,OBJECTID,AREA,PERIMETER,WDS_,WDS_ID,DIST,DIV_2,SYSTEM,LDIST,RDIST,FREQ,Shape_Leng,Shape_Area
"5600583",WILSON DITCH  (A.C.),6.00000000000,171313.00000000000,4519036.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600586",THOMAS DOUDLE NO 2,6.00000000000,160393.00000000000,4532691.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600588",JARVIE DITCH,6.00000000000,159526.00000000000,4528273.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600595",WATSON DITCH,6.00000000000,172439.00000000000,4526220.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600596",BULL CANYON GULCH DITCH,6.00000000000,179561.00000000000,4519301.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600599",SUGARLOAF D NO 1,6.00000000000,184739.00000000000,4534896.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600603",DICKINSON DITCH NO 1,6.00000000000,181788.00000000000,4536712.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600621",GOODMAN DITCH,6.00000000000,159667.00000000000,4534126.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600622",APPLE DITCH,6.00000000000,158991.00000000000,4534846.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600653",RAFTO ELK RANCH DITCH NO. 2,6.00000000000,174438.00000000000,4537005.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600654",RAFTO ELK RANCH DITCH NO. 3,6.00000000000,174778.00000000000,4536957.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600655",RAFTO ELK RANCH DITCH NO. 4,6.00000000000,174683.00000000000,4536956.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600657",RAFTO ELK RANCH DITCH NO. 6,6.00000000000,175659.00000000000,4536721.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600658",RAFTO ELK RANCH DITCH NO. 7,6.00000000000,175687.00000000000,4536600.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
"5600659",RAFTO ELK RANCH DITCH NO. 8,6.00000000000,175907.00000000000,4536590.00000000000,1,2302200000.000000000000000,298307.250000000000000,2.000000000000000,56.000000000000000,56,6,Yam/Wht,0,0,57.000000000000000,298306.794224840064999,2302173292.475781440734863
