wdid,str_name,div,utm_x,utm_y,OBJECTID,AREA,PERIMETER,DIST,DIV_2,SYSTEM,FREQ,Shape_Length,Shape_Area
5900695,TINGLEY DITCH,4,332771.09999999998,4274216.20000000019,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900575,HALAZON DITCH,4,327069.20000000001,4304114.90000000037,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900652,POLISIC NO 1 DITCH,4,318650.09999999998,4295017.90000000037,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900615,LEHMAN HARRIS DITCH,4,326634.00000000000,4284534.59999999963,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900546,DILLSWORTH DITCH,4,331758.20000000001,4300517.79999999981,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900561,GEO SMITH NO 1 DITCH,4,337094.20000000001,4276267.20000000019,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900528,BUCKEY LEHMAN DITCH,4,327117.00000000000,4282884.50000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900685,SUMMERVILLE DITCH,4,354250.50000000000,4291557.59999999963,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900525,BREEM DITCH,4,329639.20000000001,4305199.90000000037,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900697,UTE TRAIL DITCH,4,330220.00000000000,4267226.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900684,STRAND DITCH NO 1,4,335229.29999999999,4305793.79999999981,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900974,KEEVER DITCH,4,316647.09999999998,4296108.90000000037,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900864,DOS RIOS DITCH,4,330223.00000000000,4267817.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900672,SLIDE DITCH,4,337480.29999999999,4294699.70000000019,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900625,MAY BOHM & ENLD M B H P,4,328371.00000000000,4281290.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900513,AXTELL DITCH,4,346294.50000000000,4289473.50000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900669,SHACKLEFORD DITCH,4,337325.00000000000,4287913.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5901200,MOUNT CARBON DITCH,4,323883.09999999998,4290238.79999999981,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900792,CAMPBELL DITCH E BRANCH,4,325712.00000000000,4287079.70000000019,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900650,PETER PURRIER EAST DITCH,4,330320.09999999998,4279966.40000000037,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5901250,MAXSON DITCH,4,342822.00000000000,4302506.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900654,PRESSLER POLISIC DITCH,4,317709.09999999998,4295009.90000000037,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900587,HILDEBRAND NO 2 DITCH,4,330738.09999999998,4277830.29999999981,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900717,BUFFINGTON DITCH,4,320908.09999999998,4293674.90000000037,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900656,REDDEN ELSINORE DITCH,4,345489.40000000002,4286987.50000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5901473,STEENBERGEN DITCH,4,319771.90000000002,4264721.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900578,HARRIS BOHM POTATO DITCH,4,330720.09999999998,4278593.29999999981,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5901063,PIEPLANT DITCH,4,363158.00000000000,4306549.00000000000,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
5900726,SUMMERVILLE DITCH NO 2,4,353939.50000000000,4291353.59999999963,3,3554785449.8,359244.833,59,4,NONE,60,359247.995973223,3554875336.11432
