wdid,str_name,utm_x,utm_y,dist,basin,name
"4000512",BARNARD DITCH,281577.00000000000,4289876.00000000000,40,Gunnison,North Fork Tribs
"4000769",LAMAR DITCH,243934.00000000000,4305023.00000000000,40,Gunnison,North Fork Tribs
"4000763",HAL DITCH,241160.00000000000,4301282.00000000000,40,Gunnison,North Fork Tribs
"4006543",LENNOX DITCH-HARRIS ALT DIVERSION,282324.00000000000,4311174.00000000000,40,Gunnison,North Fork Tribs
"4001002",INDIAN SPRING DITCH AND PIPELINE,278099.00000000000,4302362.00000000000,40,Gunnison,North Fork Tribs
"4000840",HIXON DITCH NO 2,242046.50000000000,4304982.29999999981,40,Gunnison,North Fork Tribs
"4002331",CRYSTAL SPRINGS RANCH DITCH,261450.00000000000,4296128.00000000000,40,Gunnison,North Fork Tribs
"4000844",MCMURRAY DITCH,242955.50000000000,4305744.29999999981,40,Gunnison,North Fork Tribs
"4001091",BUZZARD DITCH NO 2,293252.00000000000,4319163.00000000000,40,Gunnison,North Fork Tribs
"4000534",CURLEY SPRING PL,277802.00000000000,4267606.00000000000,40,Gunnison,North Fork Tribs
"4001105",COYOTE DITCH,293020.00000000000,4317610.00000000000,40,Gunnison,North Fork Tribs
"4000909",SWAN DITCH,247750.00000000000,4295245.00000000000,40,Gunnison,North Fork Tribs
"4000806",MCNEIL DITCH,243671.00000000000,4296576.00000000000,40,Gunnison,North Fork Tribs
"4000620",HY DITCH,275066.00000000000,4288137.00000000000,40,Gunnison,North Fork Tribs
"4000681",HARD LABOR DITCH,246911.00000000000,4310981.00000000000,40,Gunnison,North Fork Tribs
"4000871",COMBINATION DITCH,230608.00000000000,4292604.00000000000,40,Gunnison,North Fork Tribs
"4000930",KLINE DITCH NO 2,256349.00000000000,4298351.00000000000,40,Gunnison,North Fork Tribs
"4000824",WEST GILMER DITCH,244328.00000000000,4297739.00000000000,40,Gunnison,North Fork Tribs
"4001025",NORTH FORK ORCHARD COMPANY DITCH,275441.00000000000,4299290.00000000000,40,Gunnison,North Fork Tribs
"4000602",SCRUB OAK DITCH NO 1,260519.00000000000,4289697.00000000000,40,Gunnison,North Fork Tribs
"4000654",RED BLUFF DITCH,244959.50000000000,4312574.29999999981,40,Gunnison,North Fork Tribs
"4000809",MORTON DITCH NO 2,247444.00000000000,4302227.00000000000,40,Gunnison,North Fork Tribs
"4000656",OAK PARK DITCH #2,252428.00000000000,4313165.00000000000,40,Gunnison,North Fork Tribs
"4000660",STATES DITCH,244438.00000000000,4313601.00000000000,40,Gunnison,North Fork Tribs
"4000799",EVERGREEN DITCH,254986.00000000000,4312049.00000000000,40,Gunnison,North Fork Tribs
"4001139",GALPIN NO 2 DITCH,283019.00000000000,4329137.00000000000,40,Gunnison,North Fork Tribs
"4001196",SHORT DITCH,270184.00000000000,4302958.00000000000,40,Gunnison,North Fork Tribs
"4000791",CIRCLE DITCH,243444.00000000000,4301696.00000000000,40,Gunnison,North Fork Tribs
"4001056",TURNER DITCH,282112.00000000000,4305474.00000000000,40,Gunnison,North Fork Tribs
"4000773",OMEGA DITCH,244833.00000000000,4306666.00000000000,40,Gunnison,North Fork Tribs
"4000616",VIRGINIA DITCH,286815.09999999998,4284919.59999999963,40,Gunnison,North Fork Tribs
"4001221",WILLIAMS CR DITCH,300022.00000000000,4318819.00000000000,40,Gunnison,North Fork Tribs
"4000536",DAISY DITCH,277455.00000000000,4288187.00000000000,40,Gunnison,North Fork Tribs
"4000754",BUTTES DITCH,243353.00000000000,4304606.00000000000,40,Gunnison,North Fork Tribs
